gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GeneID
ACAP3,941.1627564828203,-0.1485734882453945,0.09261325177184408,-1.6042357373587355,0.10866210009978142,0.257062527634001,116983
MIR6726,0.40455352777619497,-0.26290892442849023,0.360217351347471,-0.7298619109962985,0.46547459642513067,,102465434
SNORD167,10.325830993881628,-0.1898992502490955,0.13491354169019312,-1.4075625609560238,0.15926064008113794,0.3278908764040718,109623456
PUSL1,114.3528117812737,-0.13210036892461235,0.1141507726274517,-1.1572446325505117,0.2471724273532454,0.4361839959909472,126789
INTS11,1150.1447753052148,0.003489218890162578,0.07438623819637426,0.04690677973190812,0.962587524599206,0.9800017088531224,54973
MIR6727,1.0661945387566385,-0.39017834348609337,0.24565339209470757,-1.5883287430269502,0.11221202121175262,0.26197792872741227,102465435
CPTP,199.74562714913762,-0.057486057129913865,0.11269250968373229,-0.510114268386129,0.6099714095525519,0.7611196198898399,80772
TAS1R3,13.621949564552445,0.1373102097261658,0.12929629107048984,1.061981040518068,0.2882442924093598,0.4813593817612996,83756
DVL1,508.90115717821254,-0.14749380414841332,0.10064604204991437,-1.4654704859160312,0.1427925989888874,0.30582228000331035,1855
MIR6808,0.47801254994571485,-0.48680542907664553,0.35819756813833065,-1.3590416920101713,0.1741333777118954,,102466740
MXRA8,2829.3735493969816,-0.3066946334552927,0.09592244936603819,-3.19731862022155,0.0013871161609757961,0.01700413086989295,54587
AURKAIP1,541.5606425242315,-0.2632113722828955,0.1384585584306446,-1.9010119364686362,0.05730044916512743,0.17091634028574948,54998
CCNL2,8572.873252575873,-0.006680129089085327,0.11408529313645507,-0.058553814478921155,0.9533074982309381,0.9743974788472712,81669
MRPL20-AS1,396.3175740022829,0.027114757218365246,0.06572650727698837,0.41253914655919116,0.6799442939587427,0.8101800986385166,148413
MRPL20,1069.5309377455574,0.026624107927892143,0.07216440461565117,0.36893684732372684,0.7121747975585029,0.8311539445577963,55052
LOC107984868,52.6714858715637,0.10669398460014053,0.09064223672210328,1.1770890531667892,0.23915996388978222,0.42720811821653293,107984868
ANKRD65,311.23633143595436,-0.036334790034930835,0.08900343947977694,-0.4082402910191656,0.6830972706254252,0.8124137501390426,441869
ANKRD65-AS1,27.067863605021245,0.004649536723146977,0.08855224940886987,0.052506139078170665,0.958125403807234,0.9773801242404104,105378585
TMEM88B,0.2667923527314311,0.0716042773238621,0.6325850519223474,0.11319312257895695,0.9098774480126918,,643965
LINC01770,33.32801817897538,-0.18785469755693252,0.12671147274140393,-1.4825389800362534,0.13819693972012556,0.29962661779920463,102724312
LOC107985729,10.425416793234872,-0.11270837947187036,0.15488150685468793,-0.7277071469714909,0.46679287441014417,0.6513872226869369,107985729
VWA1,404.0536013884484,-0.051814069338021476,0.13311428924074922,-0.3892449836419218,0.6970949299797565,0.8212169854047234,64856
ATAD3C,182.42645893359168,0.2242757701658102,0.13696312741964203,1.6374901361492027,0.10152809829043137,0.2464522935518665,219293
ATAD3B,526.1970954505431,0.02411512386311652,0.10887121831156556,0.22150136865470105,0.8247020710331845,0.9005090486829367,83858
ATAD3A,240.86356971657548,0.09770699914181363,0.09563038829358907,1.021714968278172,0.3069158245593895,0.5005820624254889,55210
TMEM240,8.425954147146488,0.15797556128548412,0.17166427172447093,0.9202588267117234,0.3574375195842219,0.5508676253449459,339453
SSU72,1639.1721713372424,-0.020605080248421417,0.0654526724311618,-0.3148088455836894,0.7529067951739993,0.8566363258017488,29101
FNDC10,50.13910175914198,0.27518758202378923,0.20828133931173465,1.3212301348413937,0.18642464121830438,0.3643328739940136,643988
LOC105378586,3.9061531987635,0.22911498841578615,0.20721138706111894,1.1057065524502596,0.268853553001423,0.4598843987527568,105378586
MIB2,560.8231626880819,-0.0487232445426437,0.08607705378082099,-0.5660421959458355,0.5713650964200487,0.7338031511913314,142678
MMP23B,50.495858774312936,-0.21745283917991762,0.09904436445156789,-2.1955094606745726,0.028127073006981182,0.10759969135716983,8510
CDK11B,958.2537177166448,-0.11583240840837268,0.05091677753414891,-2.2749359644900173,0.022909771500666993,0.0942532479257323,984
SLC35E2B,3132.8285216311456,0.16397137251655122,0.07261363516908682,2.258134744731212,0.023937260065343767,0.09698333122513358,728661
MMP23A,12.421715345966316,-0.2536695118886664,0.17642758861448873,-1.4378109108715342,0.15048771270764297,0.3164238217512229,8511
CDK11A,858.9908937280188,-0.09690582490892226,0.06861479516723934,-1.4123167557773413,0.15785671491145492,0.32638350921227194,728642
SLC35E2A,2486.3810046340213,0.11209092089217582,0.07926905533818653,1.4140564740422472,0.15734532157580294,0.32567408718270846,9906
LOC112268218,134.61711375603363,-0.21664884861452563,0.10553625193902677,-2.0528381919389536,0.040088273117378774,0.13557292559818881,112268218
NADK,1572.7547854605696,-0.18328037333097205,0.05827843876775711,-3.1449087725454477,0.0016613862869840842,0.018764460151829927,65220
GNB1,6480.241608937875,-0.09984918359676598,0.05890191211452896,-1.69517728732845,0.09004179417481911,0.2283236205628177,2782
GNB1-DT,11.069480794414678,-0.3023503155535417,0.1400458366887848,-2.1589382640873223,0.030854956791495875,0.1144487651646388,105378949
CALML6,58.083722026636835,-0.04547379587100702,0.13104493801500008,-0.34700917532428344,0.7285844256756101,0.8421810774760977,163688
TMEM52,19.347051797895443,0.11346486117655462,0.1467218089973761,0.7733333030168935,0.43932515127378213,0.6275981321563278,339456
CFAP74,4.645086936808974,0.011923206341644883,0.19460268376860743,0.06126948565530672,0.9511445920499287,0.9729714900490906,85452
LOC107984872,0.4028731738758899,0.5937343037020745,0.381866717459383,1.5548207700641694,0.1199887610490798,,107984872
