logFC,logCPM,LR,PValue,FDR,GeneID,Symbol
1.1062379070356,5.39181515001227,11.7657196890422,0.0006033155116575,0.0091288142007035,6898,TAT
1.32395307214469,0.745445297850921,11.5053187928435,0.0006939732719013,0.0100069720110358,107985868,LOC107985868
1.03931956690403,3.26490334232248,11.2515299093538,0.000795574144986,0.0108116356027644,1360,CPB1
1.48573965377084,7.88481795044364,11.2440714904079,0.0007987774216332,0.01083966603775,7498,XDH
1.27831600284764,2.69153370712998,11.2090253722591,0.0008140046030045,0.0109508100445557,1591,CYP24A1
-1.27035510079063,0.210724856769233,11.1730078662096,0.0008299596324125,0.0110726376342681,9615,GDA
1.03893461452702,2.15057374430184,11.1480672403862,0.0008411926982658,0.0111146144150557,223075,ITPRID1
-1.05874959320947,0.603845069360048,10.8446860969138,0.000990796741058,0.012177101790073,101929814,LOC101929814
1.03156708871333,0.479157712866834,10.3997357889497,0.0012603334578653,0.0140126657841486,28473,IGHV1-3
1.20860996658606,0.526932231732573,10.32714034761,0.0013108815318238,0.0143382258633672,107985653,LOC107985653
1.71678865980488,9.95166580777044,9.67240214987794,0.0018705657825431,0.0177396521585118,1446,CSN1S1
1.01826396172361,10.2107240902088,9.66656844395675,0.0018765148796322,0.0177438393486504,4057,LTF
1.07138443658414,-0.781298719005656,9.52854053236234,0.0020230093269486,0.018634076902151,107986321,NPY2R-AS1
1.03472229844587,2.69376141797571,9.0333694603631,0.002650954007407,0.0218246294068391,28949,IGKJ2
1.28340100999782,5.06100895756517,8.89532169301276,0.002859022303355,0.0227535791067288,116285,ACSM1
1.28591926679651,2.15215015195498,8.69859591233126,0.0031845525777361,0.0242294572631374,8600,TNFSF11
1.00507467924793,1.1090080487607,8.48786421935506,0.0035752326807738,0.0259162123190061,105369844,LOC105369844
1.02704285082413,0.315763235897979,8.42029157205857,0.0037105628413101,0.0264331435851925,10321,CRISP3
1.03396938069523,1.25587236307195,8.05788710509177,0.0045305988285917,0.0296574656855772,7366,UGT2B15
1.1528644339148,0.727133362097829,7.76160340262388,0.0053368562211329,0.03285196098737,2069,EREG
1.40397953869774,5.166777023669,7.55321486334236,0.0059903109374255,0.0354148740954289,1057,CELP
1.09540017354887,-0.182455540571078,7.55309077985149,0.0059907234276278,0.0354148740954289,28772,IGLV10-54
